Time (s),Position (m),Velocity (m/s),Force (N)
0,0.22,,2.726
0.02,0.23,0.03,2.729
0.04,0.23,0,2.728
0.06,0.23,0,2.731
0.08,0.22,0,2.729
0.1,0.22,0,2.729
0.12,0.22,1.41E-04,2.733
0.14,0.22,0,2.733
0.16,0.22,-0.01,2.733
0.18,0.22,0,2.733
0.2,0.22,0,2.733
0.22,0.22,0,2.737
0.24,0.22,0,2.733
0.26,0.22,0,2.737
0.28,0.22,0,2.735
0.3,0.22,0,2.735
0.32,0.22,0,2.733
0.34,0.22,0,2.733
0.36,0.22,1.40E-04,2.733
0.38,0.22,0,2.733
0.4,0.22,-0.01,2.737
0.42,0.22,0,2.737
0.44,0.22,0,2.742
0.46,0.22,-0.01,2.744
0.48,0.22,-0.01,2.744
0.5,0.22,0,2.749
0.52,0.22,-5.59E-04,2.751
0.54,0.22,0.02,2.745
0.56,0.22,0.05,2.733
0.58,0.23,0.09,2.7
0.6,0.23,0.14,2.647
0.62,0.23,0.18,2.569
0.64,0.24,0.23,2.483
0.66,0.24,0.28,2.392
0.68,0.25,0.32,2.286
0.7,0.25,0.36,2.177
0.72,0.26,0.4,2.07
0.74,0.27,0.44,1.964
0.76,0.28,0.48,1.865
0.78,0.29,0.58,1.762
0.8,0.3,0.7,1.668
0.82,0.32,0.57,1.582
0.84,0.32,0.5,1.498
0.86,0.34,0.57,1.415
0.88,0.35,0.61,1.344
0.9,0.36,0.69,1.267
0.92,0.37,0.72,1.195
0.94,0.39,0.73,1.128
0.96,0.4,0.76,1.061
0.98,0.42,0.8,0.998
1,0.44,0.81,0.931
1.02,0.45,0.84,0.866
1.04,0.47,0.86,0.802
1.06,0.49,0.87,0.736
1.08,0.5,0.89,0.672
1.1,0.52,0.91,0.604
1.12,0.54,0.93,0.539
1.14,0.56,0.94,0.47
1.16,0.58,0.95,0.403
1.18,0.6,0.96,0.333
1.2,0.62,0.97,0.262
1.22,0.64,0.99,0.19
1.24,0.66,0.99,0.116
1.26,0.68,1,0.046
1.28,0.7,1.05,-0.04
1.3,0.72,1.06,-0.125
1.32,0.74,1.02,-0.218
1.34,0.76,1.02,-0.317
1.36,0.78,1.02,-0.421
1.38,0.8,1,-0.424
1.4,0.82,1,-0.419
1.42,0.84,1.03,-0.421
1.44,0.86,1.03,-0.417
1.46,0.88,1.01,-0.415
1.48,0.9,1.06,-0.415
1.5,0.92,1.08,-0.415
1.52,0.94,1.04,-0.415
1.54,0.96,1.03,-0.414
1.56,0.99,1.07,-0.417
1.58,1.01,1.06,-0.419
1.6,1.03,1.02,-0.419
1.62,1.05,1.02,-0.417
1.64,1.07,1,-0.415
1.66,1.09,0.83,-0.421
1.68,1.1,0.61,-0.417
1.7,1.11,0.33,-0.415
1.72,1.12,-0.05,-0.412
1.74,1.11,-0.32,-0.426
1.76,1.1,,-0.426